BloodID,BTN,TL,Objective,Whodunnit,ID,PlateID,BirdID,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,Ageclass,Status,BreedGroupID,TerritoryID,SexEstimate,MaxOfMaxOfSeenDate
3122,2131,5086.898388,7,EAF,1960,32,4868,23.9,,16.5,G,2006,75,1872,20/07/2006,J,OFL,3776,23,0,04/09/2010
3144,2153,11383.20863,3,EB,939,2,1510,24.0,,14.8,RB,1999,75,1908,08/08/2006,A,BrF,3777,24,0,07/01/2009
3152,2161,5164.390843,4,EB,945,32,2966,24.9,,15.3,RB,2004,75,1908,08/08/2006,A,BrM,3777,24,1,14/09/2015
3197,2206,9167.395148,6,EAF,1550,21,4890,21.0,,12.8,G,2006,75,2773,20/08/2006,CH,FL,3777,24,1,27/02/2015
3197,2206,9963.458546,6,EAF,1551,22,4890,21.0,,12.8,G,2006,75,2773,20/08/2006,CH,FL,3777,24,1,27/02/2015
3197,2206,9063.584123,7,EAF,1975,23,4890,21.0,,12.8,G,2006,75,2773,20/08/2006,CH,FL,3777,24,1,27/02/2015
3140,2149,5798.675844,4,EB,937,31,2962,24.5,,16.5,RB,2004,75,1904,06/08/2006,A,BrM,3778,25,1,17/08/2007
3233,2242,8454.068568,6,EAF,1565,34,4902,26.7,,17.1,G,2006,75,1940,01/09/2006,CH,FL,3778,25,1,08/06/2013
3236,2245,9113.232555,6,EAF,1568,34,4903,23.3,,12.2,G,2006,75,1940,01/09/2006,CH,FL,3778,25,1,13/09/2006
3094,2103,6611.217297,8,EAF,2485,21,3446,23.6,,14.0,RB,2005,75,1834,02/07/2006,A,BrF,3779,26,0,15/03/2010
3094,2103,7070.389864,8,EAF,2486,22,3446,23.6,,14.0,RB,2005,75,1834,02/07/2006,A,BrF,3779,26,0,15/03/2010
3110,2119,5264.168249,3,EB,919,64,3446,23.8,,14.0,RB,2005,75,1865,16/07/2006,A,BrF,3779,26,0,15/03/2010
3094,2103,8310.93661,8,EAF,2484,15,3446,23.6,,14.0,RB,2005,75,1834,02/07/2006,A,BrF,3779,26,0,15/03/2010
3146,2155,7443.322277,4,EB,941,31,1848,26.2,,14.9,RB,2003,75,1903,06/08/2006,A,BrM,3779,26,1,13/03/2010
3146,2155,3690.502718,7,EAF,1968,23,1848,26.2,,14.9,RB,2003,75,1903,06/08/2006,A,BrM,3779,26,1,13/03/2010
3146,2155,1743.699413,6,EAF,1537,34,1848,26.2,,14.9,RB,2003,75,1903,06/08/2006,A,BrM,3779,26,1,13/03/2010
3153,2162,7119.611986,6,EAF,1539,34,4875,24.1,,15.4,G,2006,75,1910,09/08/2006,CH,FL,3781,28,0,19/08/2009
3165,2174,10905.60614,6,EAF,1542,34,4877,24.6,,16.5,G,2006,75,1916,12/08/2006,CH,FL,3782,30,0,05/02/2008
3130,2139,6256.203827,8,EAF,2495,11,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,11900.95361,8,EAF,2496,12,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,7255.481083,8,EAF,2497,13,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,7303.126832,8,EAF,2498,14,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,10253.37614,8,EAF,2499,15,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,9011.691492,8,EAF,2500,16,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,10434.21215,8,EAF,2501,17,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,6780.179577,8,EAF,2502,18,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,6073.424976,8,EAF,2503,19,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,6764.700928,8,EAF,2512,6,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,6012.85291,8,EAF,2505,21,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,6112.900874,8,EAF,2514,8,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,5136.971728,8,EAF,2506,22,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
