"BloodID","TL","BTN","Whodunnit","Objective","PlateID"
"3773",3915.042601,"2467","EB",NA,NA
"3773",3915.042601,"2467","EB",NA,NA
"263",3920.131853,"1267","EB",NA,NA
"4074",3920.148045,"3167","EB",NA,NA
"2848",3920.672275,"1807","EB",NA,NA
"4206",3921.898132,"3095","EB",NA,NA
"758",3925.819638,"530","EB",NA,NA
"3925",3931.680354,"2803","EB",NA,NA
"3222",3939.211185,"2231","EB",NA,NA
"3222",3939.211185,"2231","EB",NA,NA
"526",3950.611503,"1542","EB",NA,NA
"4044",3953.71982,"2956","EB",NA,NA
"3323",3955.679973,"2332","EB",NA,NA
"3184",3958.128997,"2193","EB",NA,NA
"2517",3958.957255,"35","EB",NA,NA
"360",3963.915683,"1371","EB",NA,NA
"3328",3968.783756,"2337","EB",NA,NA
"240",3973.511458,"1244","EB",NA,NA
"240",3973.511458,"1244","EB",NA,NA
"240",3973.511458,"1244","EB",NA,NA
"144",3975.12536,"1143","EB",NA,NA
"1010",3975.837495,"861","EB",NA,NA
"3686",3980.600567,"2395","EB",NA,NA
"3984",3981.762034,"3041","EB",NA,NA
"3984",3981.762034,"3041","EB",NA,NA
"877",3986.457975,"668","EB",NA,NA
"1029",3991.438789,"880","EB",NA,NA
"4199",3992.273716,"3086","EB",NA,NA
"762",3992.296927,"534","EB",NA,NA
"762",3992.296927,"534","EB",NA,NA
"4273",4002.670974,"3255","EB",NA,NA
"467",4002.826131,"1480","EB",NA,NA
"79",4007.392271,"1078","EB",NA,NA
"8",4014.14467,"1007","EB",NA,NA
"2402",4015.945462,"9","EB",NA,NA
"3852",4016.662086,"2692","EB",NA,NA
"792",4020.438907,"569","EB",NA,NA
"87",4037.636385,"1086","EB",NA,NA
"726",4042.960749,"478","EB",NA,NA
"3920",4046.670827,"2797","EB",NA,NA
"4268",4053.422369,"3256","EB",NA,NA
"578",4055.567697,"1598","EB",NA,NA
"3513",4058.128809,"2482","EB",NA,NA
"3358",4060.870276,"2370","EB",NA,NA
"3303",4061.656572,"2312","EB",NA,NA
"276",4067.134885,"1280","EB",NA,NA
"276",4067.134885,"1280","EB",NA,NA
"3908",4069.31434,"2790","EB",NA,NA
"730",4070.003443,"482","EB",NA,NA
"3349",4072.536266,"2358","EB",NA,NA
"591",4074.538759,"1611","EB",NA,NA
"2915",4076.42604,"1875","EB",NA,NA
"4272",4079.080457,"3248","EB",NA,NA
"3347",4082.966846,"2356","EB",NA,NA
"4083",4086.276455,"3176","EB",NA,NA
"4160",4097.603459,"3053","EB",NA,NA
"173",4101.760535,"1173","EB",NA,NA
"776",4102.498274,"549","EB",NA,NA
"4301",4108.754999,"3274","EB",NA,NA
"272",4109.131806,"1276","EB",NA,NA
"2673",4112.407683,"320","EB",NA,NA
"3310",4118.771966,"2319","EB",NA,NA
"3821",4122.581854,"2648","EB",NA,NA
"4215",4130.80812,"3099","EB",NA,NA
"378",4131.381776,"1389","EB",NA,NA
"2803",4138.312784,"1761","EB",NA,NA
"2803",4138.312784,"1761","EB",NA,NA
"2803",4138.312784,"1761","EB",NA,NA
"2803",4138.312784,"1761","EB",NA,NA
"4234",4139.803353,"3109","EB",NA,NA
"1077",4143.363523,"927","EB",NA,NA
"1149",4155.748519,"999","EB",NA,NA
"931",4156.294205,"722","EB",NA,NA
"3357",4159.254071,"2366","EB",NA,NA
"4096",4161.32051,"3189","EB",NA,NA
"3834",4162.643734,"2672","EB",NA,NA
"57",4164.549622,"1056","EB",NA,NA
"260",4171.6073,"1264","EB",NA,NA
"3869",4174.814959,"2729","EB",NA,NA
"4120",4176.114151,"3225","EB",NA,NA
"406",4177.518222,"1417","EB",NA,NA
"3299",4186.715817,"2308","EB",NA,NA
"1859",4188.479739,"7","EB",NA,NA
"4107",4191.930127,"3214","EB",NA,NA
"3825",4194.358557,"2659","EB",NA,NA
"3825",4194.358557,"2659","EB",NA,NA
"4236",4196.341436,"3108","EB",NA,NA
"4105",4198.282657,"3212","EB",NA,NA
"891",4199.208544,"682","EB",NA,NA
"3567",4201.688674,"2780","EB",NA,NA
"3858",4202.266679,"2711","EB",NA,NA
"734",4206.898294,"502","EB",NA,NA
"3199",4208.328697,"2208","EB",NA,NA
"4304",4218.510324,"3276","EB",NA,NA
"4121",4222.929371,"3226","EB",NA,NA
"4188",4230.302335,"3072","EB",NA,NA
"4077",4233.259534,"3170","EB",NA,NA
"3929",4234.825876,"2808","EB",NA,NA
"3748",4241.40615,"2604","EB",NA,NA
"4244",4250.050369,"3117","EB",NA,NA
"4278",4253.759075,"3252","EB",NA,NA
"2933",4257.586508,"1893","EB",NA,NA
"658",4258.473684,"1678","EB",NA,NA
"2543",4262.090896,"59","EB",NA,NA
"3694",4267.920942,"2389","EB",NA,NA
"2197",4269.798101,"149","EB",NA,NA
"2197",4269.798101,"149","EB",NA,NA
"2220",4275.149223,"17","EB",NA,NA
"2220",4275.149223,"17","EB",NA,NA
"835",4279.459508,"617","EB",NA,NA
"772",4282.536197,"545","EB",NA,NA
"669",4286.255399,"1689","EB",NA,NA
"139",4297.44378,"1138","EB",NA,NA
"2442",4305.555252,"134","EB",NA,NA
"3833",4309.419998,"2668","EB",NA,NA
"3833",4309.419998,"2668","EB",NA,NA
"845",4309.946828,"628","EB",NA,NA
"3885",4317.168254,"2760","EB",NA,NA
"737",4319.14085,"505","EB",NA,NA
"737",4319.14085,"505","EB",NA,NA
"2909",4322.057161,"1869","EB",NA,NA
"4294",4322.682528,"3268","EB",NA,NA
"4294",4322.682528,"3268","EB",NA,NA
"284",4323.28391,"1288","EB",NA,NA
"2665",4323.325619,"312","EB",NA,NA
"2665",4323.325619,"312","EB",NA,NA
"482",4326.500371,"1496","EB",NA,NA
"2671",4327.588587,"318","EB",NA,NA
"3747",4332.333653,"2597","EB",NA,NA
"4097",4338.570625,"3190","EB",NA,NA
"3193",4342.839043,"2202","EB",NA,NA
"2424",4347.274934,"118","EB",NA,NA
"4293",4348.414764,"3270","EB",NA,NA
"2244",4348.792784,"191","EB",NA,NA
"2244",4348.792784,"191","EB",NA,NA
