BreedGroupID,BirdID,Status
1272,2737,BrF
1272,1941,BrM
1273,2264,FL
1273,2095,AB
1273,1944,BrF
1273,1943,BrM
1274,2265,CH
1274,2096,BrF
1274,30,BrM
1275,2097,AB
1275,1949,BrF
1275,1948,BrM
1276,1689,FL
1276,2266,AB
1276,2111,BrF
1276,1951,BrM
1277,1954,BrF
1277,1953,BrM
1278,2100,BrF
1278,2099,BrM
1279,432,FL
1279,2036,BrF
1279,2035,BrM
1280,2267,FL
1280,434,FL
1280,2170,AB
1280,2037,BrF
1280,2753,BrM
1281,2269,FL
1281,2171,AB
1281,2268,AB
1281,1959,BrF
1281,2771,BrM
1282,1961,BrF
1282,1960,BrM
1283,1963,BrF
1283,1962,BrM
1284,2173,AB
1284,2040,BrF
1284,1965,BrM
1285,2271,FL
1285,2174,AB
1285,2101,BrF
1285,2270,BrM
1286,2273,FL
1286,2272,AB
1286,40,BrF
1286,39,BrM
1287,2274,FL
1287,34,BrF
1287,2044,BrM
1288,108,CH
1288,42,AB
1288,800,BrF
1288,38,BrM
1289,2862,AB
1289,2275,BrF
1289,2045,BrM
1290,2276,FL
1290,2106,BrF
1290,2105,BrM
1291,2278,FL
1291,2840,AB
1291,2277,AB
1291,2047,BrF
1291,2046,BrM
1292,2279,AB
1292,2178,BrF
1292,2177,BrM
1293,2180,BrF
1293,2179,BrM
1294,2048,BrF
1294,1968,BrM
1295,2182,BrF
1295,2181,BrM
1296,2280,FL
1296,2183,AB
1296,1970,BrF
1296,1969,BrM
1297,1972,BrF
1297,1971,BrM
1298,2112,BrF
1298,1973,BrM
1299,2281,FL
1299,2184,AB
1299,1978,BrF
1299,1977,BrM
1300,2186,BrF
1300,2185,BrM
1301,1980,BrF
1301,1979,BrM
1302,2282,FL
1302,2204,BrF
1302,2205,BrM
1303,2283,FL
1303,2206,BrF
1303,1983,BrM
1304,110,FL
1305,2285,BrF
1305,2284,BrM
1306,2287,BrF
1306,2286,BrM
1307,111,FL
1307,2288,AB
1307,2113,BrF
1307,1985,BrM
1308,2291,AB
1308,2292,AB
1308,2293,AB
1308,2290,BrF
1308,2289,BrM
1309,2294,FL
1309,2207,BrF
1309,2208,BrM
1310,2209,BrF
1310,2210,BrM
1311,2295,FL
1311,2192,BrF
1311,2191,BrM
1312,2296,AB
1312,2194,BrF
1312,2193,BrM
1313,2297,AB
1313,2298,AB
1313,2841,BrF
1313,2107,BrM
1314,2196,BrF
1314,2195,BrM
1315,2300,FL
1315,2200,AB
1315,2299,AB
1315,2199,BrF
1315,2198,BrM
1316,2301,AB
1316,2302,AB
1316,2303,AB
1316,2304,AB
1316,2202,BrF
1316,2201,BrM
1317,435,FL
1317,2305,AB
1317,31,BrF
1317,2203,BrM
1318,2307,FL
1318,2308,FL
1318,2306,AB
1318,2058,BrF
1318,2057,BrM
1319,1995,BrF
1319,1994,BrM
1320,2309,AB
1320,1997,BrF
1320,1996,BrM
1321,2310,AB
1321,2000,BrF
1321,1999,BrM
1322,2063,BrF
1322,2311,BrM
1323,2065,BrF
1323,2064,BrM
1324,2313,BrF
1324,2312,BrM
1325,2314,AB
1325,2315,AB
1325,2108,BrF
1325,33,BrM
1326,2317,BrF
1326,2316,BrM
1327,2832,BrF
1327,2066,BrM
1328,87,FL
1328,2212,AB
1328,2114,BrF
1328,2005,BrM
1329,59,FL
1329,2214,BrF
1329,23,BrM
1330,69,FL
1330,2115,BrF
1330,44,BrM
1331,88,FL
1331,2117,BrF
1331,2116,BrM
1332,2320,FL
1332,2119,BrF
1332,2118,BrM
1333,89,CH
1333,2323,AB
1333,2322,BrF
1333,2321,BrM
1334,2324,AB
1334,789,BrF
1334,2120,BrM
1335,2217,AB
1335,2325,AB
1335,1901,BrF
1335,1900,BrM
1336,2326,FL
1336,2327,FL
1336,2220,AB
1336,2008,BrF
1336,2764,BrM
1337,2328,FL
1337,2221,BrF
1337,1686,BrM
1338,56,FL
1338,2329,FL
1338,2222,AB
1338,2070,BrF
1338,22,BrM
1339,2330,BrF
1339,2121,BrM
1340,2751,AB
1340,2223,BrF
1340,2122,BrM
1341,2332,FL
1341,2331,FL
1341,2750,BrF
1341,98,BrM
1342,2334,FL
1342,2333,BrF
1342,28,BrM
1343,82,FL
1343,2776,BrF
1343,2754,BrM
1344,84,FL
1344,2335,FL
1344,83,FL
1344,2226,AB
1344,788,BrF
1344,2011,BrM
1345,2337,FL
1345,2336,AB
1345,2227,BrF
1345,29,BrM
1346,52,FL
1346,2229,AB
1346,427,AB
1346,2749,BrF
1346,2071,BrM
1347,2338,FL
1347,2339,FL
1347,37,BrF
1347,36,BrM
1348,2340,FL
1348,2076,BrF
1348,2125,BrM
1349,80,FL
1349,2232,AB
1349,1905,BrF
1349,2755,BrM
1350,212,FL
1350,2342,AB
1350,2341,BrF
1350,21,BrM
1351,2344,FL
1351,2126,BrF
1351,2343,BrM
1352,75,FL
1352,54,FL
1352,2233,AB
1352,2795,BrF
1352,2733,BrM
1353,62,FL
1353,2345,FL
1353,2014,BrF
1353,2128,BrM
1354,2346,FL
1354,2347,FL
1354,2235,AB
1354,1687,BrF
1354,2077,BrM
1355,2349,FL
1355,61,FL
1355,2348,FL
1355,2237,AB
1355,2129,BrF
1355,2015,BrM
1356,2239,BrF
1356,42,BrM
1357,49,FL
1357,2352,CH
1357,2353,CH
1357,2350,FL
1357,81,FL
1357,2351,FL
1357,2240,AB
1357,2241,AB
1357,799,BrF
1357,2131,BrM
1358,2354,FL
1358,2777,AB
1358,99,BrF
1358,2763,BrM
1359,2355,CH
1359,76,FL
1359,2244,AB
1359,794,BrF
1359,2756,BrM
1360,2759,BrF
1360,24,BrM
1361,90,FL
1361,2356,FL
1361,2357,FL
1361,2359,FL
1361,2358,FL
1361,93,AB
1361,2247,AB
1361,2355,AB
1361,2079,BrF
1361,2078,BrM
1362,2136,AB
1362,2361,AB
1362,2082,BrF
1362,2081,BrM
1363,2138,BrF
1363,2137,BrM
1364,67,FL
1364,66,FL
1364,2084,BrF
1364,304,BrM
1365,2249,BrF
1365,97,BrM
1366,77,FL
1366,1915,BrF
1366,2781,BrM
1367,63,FL
1367,211,FL
1367,65,FL
1367,1914,BrF
1367,1913,BrM
1368,1917,BrF
1368,1916,BrM
1369,2143,BrF
1369,2142,BrM
1370,2362,CH
1370,2363,CH
1370,73,FL
1370,1921,BrF
1370,2144,BrM
1371,1923,BrF
1371,1922,BrM
1372,1925,BrF
1372,1924,BrM
1373,2364,FL
1373,2088,BrF
1373,2087,BrM
1374,64,FL
1374,2365,AB
1374,1927,BrF
1374,1926,BrM
1375,51,FL
1375,430,BrF
1375,1929,BrM
1376,2367,CH
1376,55,FL
