offspring,mother,father,prob
1798,1588,1581,1
1799,869,1188,0.996
1800,1193,1495,1
1801,845,1276,1
1802,524,1578,0.625
1803,1580,1040,0.975
1804,1532,911,1
1805,1193,1590,0.997
1806,1597,1587,1
1807,1271,1593,1
1808,1403,849,1
1819,1355,1802,0.941
1820,1700,1221,1
1821,1172,1171,1
1822,938,1381,1
1823,1172,1171,1
1824,1419,1287,0.997
1825,1506,1500,1
1826,1536,1787,1
1827,1563,1572,1
1828,1508,1754,1
1829,1190,1489,1
1830,1271,1395,1
1831,1757,1523,1
1832,NA,1018,0.377
1833,1559,1031,1
1843,1490,1287,0.985
1844,1415,1040,0.999
1845,1685,1608,0.649
1846,1244,1213,0.998
1847,1763,1287,1
1848,1059,1666,0.994
1849,601,506,0.999
1850,601,506,1
1851,1195,1045,1
1852,1247,1287,0.527
1853,1771,1187,1
1854,1771,1187,1
1855,442,1543,1
1856,1753,1349,1
1857,1753,1349,1
1858,825,1611,1
1861,NA,NA,0.616
1864,1503,1209,1
1865,458,1268,0.956
1866,1409,1209,0.999
1867,1674,1029,1
1868,1384,1553,0.999
1869,832,1604,1
1870,1892,1754,0.928
1871,1401,1524,1
1872,1612,1199,0.442
1873,1550,1724,1
1874,1669,1213,1
1876,NA,1268,0.843
1877,1893,1524,0.998
1878,862,1524,0.891
1879,1501,1606,1
1881,1155,453,1
1882,639,1610,1
1883,1275,1587,1
1884,1580,1512,0.962
1885,1024,1412,1
1886,1517,544,0.948
1887,1429,1759,1
1888,2987,1676,0.863
1889,1170,1609,0.997
1890,1735,1381,1
1891,1541,509,1
1892,832,1534,1
1893,1403,849,0.964
1894,503,1214,1
1895,912,1348,1
1896,1305,1595,1
1897,927,501,0.998
2959,919,510,1
2960,1369,1744,0.999
2962,1763,1287,1
2963,1672,1533,1
2964,1559,1435,0.998
2965,1559,1031,1
2966,1605,497,0.979
2967,1800,1572,0.999
2968,459,176,1
2969,1781,1395,1
2970,1437,634,1
2971,1612,1199,1
2972,1042,176,0.999
2973,NA,544,0.991
2974,1024,1412,1
2975,1532,911,0.964
2976,1380,NA,0.724
2977,1717,1196,0.999
2978,1892,1356,1
2979,1674,1543,1
2980,1758,1695,0.846
2981,1888,1695,0.909
2982,1491,1604,0.997
2983,1672,1533,1
2984,1589,929,1
2985,1765,921,1
2986,869,453,0.984
2987,308,1368,0.98
2988,930,1485,1
2989,NA,1767,0.983
2990,1042,453,0.999
2991,832,1435,1
3000,1735,1381,1
3001,1725,1610,0.968
3002,1782,1495,0.997
3003,1247,1795,0.987
3004,1193,1590,1
3005,1437,1579,0.962
3006,1170,1871,1
3008,1605,2966,0.816
3009,1705,1750,1
3010,1740,1729,1
3011,1401,1788,1
3012,1247,1287,1
3013,595,1499,1
3014,503,1214,1
3015,1510,1723,0.999
3016,1589,1029,0.999
3017,1415,1018,0.954
3018,1854,1029,1
3019,1042,453,0.907
3020,1772,1729,1
3021,1558,1699,1
3022,1760,2972,1
3023,1605,1485,0.999
3024,1791,1509,1
3085,1763,1287,1
3086,1536,1787,0.764
3087,1753,1775,1
3088,1429,1886,1
3089,1617,1610,0.999
3090,1362,1509,1
3091,1665,1623,1
3092,1892,1356,0.999
3093,1852,1358,1
3094,1891,1523,1
3095,3022,1492,1
3444,1764,1711,1
3445,1605,497,1
3446,NA,1702,0.329
3447,1501,1773,1
3448,2984,501,1
3449,1614,1767,1
3450,1506,1720,1
3451,2987,1739,0.994
3452,1361,1553,1
3453,1563,510,1
3454,2978,1196,0.999
3455,1697,1796,1
3456,1580,1512,0.998
3457,1717,1797,0.996
3458,NA,1610,0.969
3459,1275,1610,1
3460,1725,1587,0.999
3461,1403,1533,1
3462,1403,1533,1
3463,1778,1607,0.999
3464,1778,1607,1
3486,1705,1187,1
3487,1043,1412,1
3488,1024,1412,1
3489,1503,1606,1
3490,1501,1773,1
3491,1605,497,1
3492,1532,911,0.921
3497,1705,1750,1
3498,2985,1752,1
3499,1716,2976,1
3500,2987,1739,1
3501,1437,1623,1
3502,1895,1754,1
3503,1536,1787,1
3504,930,1485,1
3505,1580,1040,0.998
3506,1559,1165,1
3507,1760,2972,1
3508,1597,1794,0.998
3509,3508,1171,1
3510,1415,1566,0.998
3511,1195,1579,1
3512,1042,1590,1
3513,1042,453,0.827
3514,1821,1504,0.993
3515,1369,1744,0.999
3516,1790,1731,1
3517,1828,1848,1
3518,NA,1773,0.59
3519,NA,1773,1
3520,1388,1611,1
3521,1415,1040,0.997
3564,1685,1608,0.989
3565,1782,1881,1
3566,1491,1356,1
3567,1757,1523,1
3568,1782,1881,0.999
3569,1763,1287,0.56
3570,1779,1796,1
3571,2975,1611,1
3572,1506,1720,1
3573,2975,1611,1
3574,3090,1381,1
3575,1824,1795,1
3576,1864,1848,0.999
3577,3022,1489,0.953
3578,1685,1608,1
3579,1536,1512,0.999
3580,1854,1029,1
3581,1200,1553,1
3590,2963,1796,0.992
3591,1532,911,0.984
3592,2963,1533,1
3593,1893,1871,0.963
3594,1740,1187,1
3595,1893,1871,0.98
3596,1401,1877,1
3597,1170,1579,0.999
3598,1438,1708,1
3599,1697,1196,0.941
3600,1760,1829,1
3601,1772,1729,0.974
3602,1193,1590,1
3603,1559,2960,1
3604,1725,1587,1
3605,1195,1871,0.995
3606,3003,1710,1
3607,2984,2960,1
3608,1705,1750,1
3611,3508,1171,1
3612,3009,1742,1
3613,3508,1171,1
3614,1757,1831,1
3615,1857,1606,1
3616,1763,1287,0.998
3617,1827,1783,1
3618,1369,1744,1
3619,1429,1886,1
3641,919,1616,1
3642,1891,510,1
3643,1665,1623,1
3644,1580,1766,1
3645,1576,1512,1
3646,1790,2964,1
3647,2989,1731,1
3648,1851,1199,1
3649,1821,1504,1
3650,1781,1512,0.982
3651,1678,1412,0.992
3652,1024,1616,1
3653,1891,1523,0.988
3688,1791,1509,1
3689,1605,911,0.999
3690,1589,929,0.989
3691,1043,1412,1
3692,1672,1533,1
3694,NA,1395,0.903
3695,1437,1623,1
3696,NA,NA,0.38
3697,1753,1606,1
3698,3003,1566,1
3699,2968,1769,1
3700,1678,1412,1
3701,1043,1682,1
3702,1716,1877,1
3741,NA,501,0.478
3742,NA,929,0.52
3745,1218,544,0.979
3754,840,495,0.999
3758,925,922,0.984
3761,1235,1039,1
3766,500,494,1
3785,827,176,0.905
3793,1173,1041,1
3794,853,634,0.891
3810,530,637,0.997
3829,675,846,1
3831,1182,846,0.993
3840,912,922,0.544
3844,639,1028,0.68
3849,1043,1276,1
3863,925,837,1
3866,925,837,1
3871,169,890,0.779
3877,524,1199,0.439
3931,524,629,0.98
3944,1190,1191,0.856
3946,774,1198,0.999
3964,1418,922,0.644
3976,840,597,1
3986,924,220,1
3987,1246,609,1
3994,1218,1199,0.533
4017,447,176,0.999
4042,522,1360,1
4057,833,497,1
4064,NA,NA,0.317
4086,938,1028,0.999
4194,869,1495,1
4235,NA,1794,1
4255,454,44,0.572
4256,878,NA,0.592
4257,641,NA,0.645
4258,825,602,0.506
4259,NA,25,0.296
4260,64,637,0.996
4261,NA,1028,0.722
4262,1043,1306,0.998
4266,912,1750,1
4802,1155,1808,1
4803,1042,453,0.845
4804,3487,1543,1
4805,3487,1543,1
4829,912,1750,1
4854,1740,1187,1
4855,1605,497,1
4860,1821,1504,1
4861,2989,1710,1
4862,1717,1797,0.998
4863,1429,1886,1
4866,3002,1581,1
4867,1798,2974,0.938
4868,1559,1711,1
4870,1536,1199,0.999
4871,1805,1774,1
4872,3698,1489,1
4873,1510,1165,1
4874,1763,2980,1
4875,1857,1606,1
4876,1415,1040,0.998
4877,1503,1606,1
4878,NA,1579,0.386
4879,3003,1710,1
4880,1042,453,0.994
4881,1707,1604,0.999
4882,3086,1702,1
4883,1697,1722,1
4884,1697,1722,1
4885,1772,1729,1
4886,2963,1709,0.998
4887,1790,1731,0.674
4888,1895,1754,1
4889,1740,1187,1
4890,1510,2966,1
4891,1852,3093,1
4892,3505,1774,0.999
4893,845,1276,1
4894,1244,2990,0.993
4895,1419,1795,1
4896,1779,1796,1
4897,1824,1729,1
4898,869,453,0.996
4899,1782,453,0.996
4900,1538,1808,0.999
4901,1024,1616,1
4902,1506,1767,1
4903,1506,1499,1
4904,1854,1029,0.992
4905,1821,1504,0.998
4906,1193,1881,0.555
4907,3507,1587,1
4908,1170,1524,1
4910,3517,1593,1
4911,3517,1593,1
4912,2963,1196,1
4913,2978,1722,1
4914,1580,1542,1
4915,2963,1196,0.996
4916,1580,1542,0.999
4917,1826,1499,0.997
4918,NA,1579,1
4919,1043,1682,1
4933,3453,1699,1
4934,3453,1699,1
4935,1672,1797,0.999
4936,1827,1783,1
4937,1827,1744,0.999
4938,1791,1509,1
4939,1532,911,0.966
4940,1501,3489,0.995
4941,1415,1040,0.987
4942,1753,1775,1
4943,3490,3087,1
4944,1872,1777,0.93
4945,1803,1802,0.998
4946,NA,1018,0.711
4947,NA,1777,0.699
4948,1437,1797,1
4949,1491,1356,1
4950,1491,1604,1
4951,3567,1604,1
4952,1437,1722,1
4953,1789,1610,0.995
4954,1672,1533,1
4955,1598,3000,0.998
4956,1685,1608,1
4957,2982,1610,1
4958,1172,1171,1
4959,1893,1788,1
4960,2968,1769,0.998
4961,1361,1698,1
4962,1760,1829,0.992
4963,2968,1769,1
4964,2959,1831,1
4965,3094,1739,0.999
4966,1559,1702,1
4967,1501,3489,1
4968,1503,1611,1
4969,3500,2988,1
4970,3487,1543,0.983
4971,1669,1897,1
4972,1155,1808,1
4973,2968,1553,0.918
4974,2968,1769,1
4999,1757,1523,1
5000,3002,1581,1
5008,1803,1566,1
5009,1778,1485,1
5071,1532,1804,0.872
5072,2985,1752,1
5073,3446,4873,1
5074,1765,3464,1
5075,1305,453,1
5076,1800,1769,1
5077,3505,1742,0.995
5078,1614,1767,1
5079,1716,1579,1
5080,2963,1796,0.936
5099,1753,1775,1
5116,563,1587,1
5117,3002,1581,1
5118,1717,1797,0.996
5119,1580,1512,1
5120,3569,3456,1
5121,3698,1489,0.995
5122,1043,1412,0.995
5123,1042,1577,0.998
5125,2985,1752,1
5126,2985,1752,1
5127,1826,1499,1
5128,1789,1801,0.982
5129,1789,1869,0.998
5130,3090,3458,1
5131,1193,2990,1
5132,3698,3457,1
5133,NA,1796,0.533
5134,3085,1729,0.992
5135,2963,1533,1
5136,2963,1533,0.998
5137,1776,2991,1
5138,1532,911,1
5139,3446,1787,1
5140,1854,1029,1
5141,3487,1543,0.826
5142,3449,2962,1
5144,3608,1553,1
5145,1716,1774,0.981
5146,3567,1604,0.998
5147,3497,1611,1
5148,1172,1171,1
5149,1757,3617,1
5150,1491,1604,0.999
5151,1438,1708,0.999
5152,1438,1708,1
5153,4907,1171,0.627
5154,3507,4953,0.999
5155,1361,1698,1
5156,1401,1788,0.999
5157,1170,1877,0.995
5159,1763,1702,1
5160,1790,1731,1
5161,1872,1777,0.996
5162,NA,4918,0.996
5163,1536,1787,0.995
5164,1401,1877,0.999
5165,1589,1762,0.889
5166,930,3519,1
5167,1605,497,1
5168,3500,2988,0.918
5169,3094,1739,0.999
5170,2981,1868,1
