BloodID,TL,BirdID,Ageclass,RightTarsus,LeftTarsus,OccasionDate,OccasionID,LayYear,BodyMass,TerritoryID,FieldPeriodID,Status,BreedGroupID,MaxOfMaxOfSeenDate,SexEstimate
861,5495.289044,1565,OFL,24.8,24.8,03/12/1999,1007,1999,14.9,38,29,OFL,2560,03/12/1999,1
862,5004.263352,1566,FL,25.5,25.3,04/12/1999,1008,1999,15.4,112,29,FL,2574,11/08/2008,1
1097,8090.675798,1566,A,25.6,,01/09/2002,1097,1999,16.5,80,41,BrM,820,11/08/2008,1
3176,1522.647327,1566,A,25.5,,13/08/2006,1918,1999,17.2,80,75,BrM,3820,11/08/2008,1
864,3206.843763,1568,FL,23.8,23.6,05/12/1999,1009,1999,13.8,130,29,FL,2577,05/12/1999,0
866,5033.977712,1569,A,26.1,26,06/12/1999,1010,1998,15.5,165,29,U,2579,02/09/2002,1
1077,4143.363523,1569,A,25.5,,23/08/2002,1089,1998,16.5,165,41,BrM,852,02/09/2002,1
867,2836.450523,1570,FL,25.2,25.3,06/12/1999,1010,1999,14.0,164,29,FL,2578,29/08/2004,1
119,6800.850558,1570,A,26.0,,09/07/2003,1158,1999,15.5,169,30,BrM,548,29/08/2004,1
394,4710.871185,1570,A,26.0,,31/07/2004,1427,1999,16.9,169,34,BrM,635,29/08/2004,1
394,3753.336147,1570,A,26.0,,31/07/2004,1427,1999,16.9,169,34,BrM,635,29/08/2004,1
1075,10682.51447,1570,A,26.5,,22/08/2002,1087,1999,17.5,169,41,BrM,3283,29/08/2004,1
869,6045.369247,1571,CH,23.9,23.6,25/07/2000,1015,2000,14.6,63,39,FL,3069,25/07/2000,0
870,3583.653042,1572,FL,24.9,25,29/07/2000,1016,2000,14.4,60,39,FL,3066,26/05/2004,1
871,3407.943039,1573,OFL,23.5,23.8,29/07/2000,1016,2000,14.2,57,39,OFL,3065,29/06/2001,0
872,2835.719113,1574,FL,25.2,25.3,29/07/2000,1016,2000,15.4,53,39,OFL,3062,29/07/2000,1
876,2582.460022,1575,OFL,24.8,24.4,01/08/2000,1018,2000,14.0,72,39,OFL,3075,05/07/2001,0
877,3986.457975,1576,OFL,23.8,23.4,01/08/2000,1018,2000,14.7,15,39,OFL,3036,12/03/2010,0
443,3449.618697,1577,A,26.0,,23/12/2004,1504,2000,16.6,63,35,BrM,2917,01/07/2013,1
591,4074.538759,1577,A,26.2,,04/08/2005,1664,2000,16.4,63,37,BrM,691,01/07/2013,1
881,19743.88695,1577,OFL,25.4,25.7,02/08/2000,1019,2000,16.6,54,39,OFL,3063,01/07/2013,1
1057,4696.737263,1577,A,26.1,,15/08/2002,1080,2000,17.6,66,41,BrM,3263,01/07/2013,1
4060,3058.753876,1577,A,25.9,,22/01/2009,2285,2000,16.2,63,90,BrM,4108,01/07/2013,1
4060,9329.952096,1577,A,25.9,,22/01/2009,2285,2000,16.2,63,90,BrM,4108,01/07/2013,1
4308,2538.2191,1577,A,26.0,,13/07/2009,2453,2000,16.9,63,92,BrM,4743,01/07/2013,1
4766,913.2611602,1577,A,26.2,,26/07/2011,3574,2000,17.0,63,105,BrM,5119,01/07/2013,1
886,3538.633004,1578,FL,24.9,25,03/08/2000,1020,2000,14.7,90,39,FL,3090,27/07/2002,1
886,2396.476441,1578,FL,24.9,25,03/08/2000,1020,2000,14.7,90,39,FL,3090,27/07/2002,1
886,15206.64224,1578,FL,24.9,25,03/08/2000,1020,2000,14.7,90,39,FL,3090,27/07/2002,1
153,22693.04506,1579,A,25.9,,29/07/2003,1178,2000,18.5,174,30,BrM,551,02/08/2008,1
887,4678.710503,1579,FL,25.1,25.5,03/08/2000,1020,2000,15.5,95,39,OFL,3093,02/08/2008,1
891,4199.208544,1580,FL,24.0,24.1,04/08/2000,1021,2000,14.1,101,39,FL,3097,13/08/2015,0
1003,5105.117925,1580,A,24.6,,20/07/2002,1053,2000,15.6,109,41,BrF,831,13/08/2015,0
2904,7307.134343,1580,A,23.3,,28/11/2005,1764,2000,15.5,109,54,BrF,6376,13/08/2015,0
3179,14175.29099,1580,A,24.1,,14/08/2006,1919,2000,16.5,109,75,BrF,3840,13/08/2015,0
3179,2244.273124,1580,A,24.1,,14/08/2006,1919,2000,16.5,109,75,BrF,3840,13/08/2015,0
4333,2347.182215,1580,A,24.7,,11/08/2009,2509,2000,16.0,109,92,BrF,4772,13/08/2015,0
158,4873.605797,1581,A,26.1,,31/07/2003,1182,2000,16.8,144,30,BrM,539,05/02/2009,1
892,3592.732529,1581,OFL,25.7,25.4,04/08/2000,1021,2000,15.6,99,39,OFL,3095,05/02/2009,1
1039,5041.496171,1581,A,25.8,,03/08/2002,1072,2000,16.1,135,41,BrM,844,05/02/2009,1
3115,6406.278583,1581,A,26.0,,17/07/2006,1866,2000,17.5,135,75,BrM,3855,05/02/2009,1
3687,6190.468847,1581,A,26.4,,18/06/2007,2048,2000,17.3,135,82,BrM,4284,05/02/2009,1
4258,3868.681209,1581,A,25.6,,20/08/2008,2384,2000,17.9,135,87,BrM,4588,05/02/2009,1
893,3373.682417,1582,OFL,26.0,26,04/08/2000,1021,2000,16.5,99,39,OFL,3095,04/08/2000,1
894,3216.369853,1583,OFL,26.0,26.2,04/08/2000,1021,2000,15.6,88,39,OFL,3088,24/08/2002,1
898,5627.952112,1584,SA,23.1,23.3,05/08/2000,1022,1999,13.6,8,39,U,3032,05/08/2000,0
899,1763.36923,1585,FL,25.3,25.3,05/08/2000,1022,2000,15.4,9,39,FL,3033,15/08/2002,1
900,2959.955755,1586,OFL,24.4,24,05/08/2000,1022,2000,14.7,33,39,OFL,3049,12/07/2001,0
157,2133.563179,1587,A,25.8,,31/07/2003,1183,1999,16.9,144,30,BrM,539,13/01/2007,1
157,5409.923472,1587,A,25.8,,31/07/2003,1183,1999,16.9,144,30,BrM,539,13/01/2007,1
576,2903.370902,1587,A,25.7,,29/07/2005,1638,1999,17.5,144,37,BrM,742,13/01/2007,1
905,4683.493246,1587,A,25.6,25.5,07/08/2000,4583,1999,16.4,144,39,BrM,3121,13/01/2007,1
2935,2945.860648,1589,A,23.1,,04/12/2005,1774,2000,14.6,15,54,BrF,5784,14/08/2008,0
3238,6247.53388,1589,A,23.4,,02/09/2006,1943,2000,15.6,15,75,BrF,3772,14/08/2008,0
3096,3006.308551,1589,A,23.4,,04/07/2006,1838,2000,14.5,15,75,BrF,3772,14/08/2008,0
911,3627.397864,1590,FL,26.0,25.7,10/08/2000,1024,2000,15.5,48,39,FL,3058,11/12/2005,1
911,4946.896124,1590,FL,26.0,25.7,10/08/2000,1024,2000,15.5,48,39,FL,3058,11/12/2005,1
1017,5354.614863,1590,A,26.7,,24/07/2002,1057,2000,17.0,48,41,BrM,803,11/12/2005,1
276,4067.134885,1591,A,26.0,,03/01/2004,1251,2000,17.0,75,31,BrM,2649,18/11/2005,1
276,3270.396878,1591,A,26.0,,03/01/2004,1251,2000,17.0,75,31,BrM,2649,18/11/2005,1
912,3347.642266,1591,FL,25.7,25.9,11/08/2000,1025,2000,15.5,24,39,FL,3042,18/11/2005,1
913,3682.50251,1592,FL,24.3,24.2,11/08/2000,1025,2000,15.0,109,39,FL,3100,12/07/2001,0
914,2689.11164,1593,FL,25.4,25,11/08/2000,1025,2000,15.6,109,39,SEEN1,3100,30/08/2008,1
3196,6376.908401,1593,A,25.8,,19/08/2006,1926,2000,16.8,168,75,BrM,3868,30/08/2008,1
915,4520.43923,1594,FL,24.5,24.6,11/08/2000,1025,2000,14.5,38,39,FL,3052,11/08/2000,1
