BloodID,TL,BirdID,BTN,Whodunnit,Objective,Plate
3773,3915.042601,4870,2467,EB,,
263,3920.131853,544,1267,EB,,
4074,3920.148045,4860,3167,EB,,
2848,3920.672275,609,1807,EB,,
4206,3921.898132,5155,3095,EB,,
758,3925.819638,1492,530,EB,,
3925,3931.680354,2978,2803,EB,,
3222,3939.211185,1757,2231,EB,,
3222,3939.211185,1757,2231,EB,,
526,3950.611503,1523,1542,EB,,
4044,3953.71982,1750,2956,EB,,
3323,3955.679973,2982,2332,EB,,
3184,3958.128997,1779,2193,EB,,
2517,3958.957255,1019,35,EB,,
360,3963.915683,1739,1371,EB,,
3328,3968.783756,1617,2337,EB,,
240,3973.511458,1409,1244,EB,,
240,3973.511458,1409,1244,EB,,
240,3973.511458,1409,1244,EB,,
144,3975.12536,1275,1143,EB,,
1010,3975.837495,1619,861,EB,,
3686,3980.600567,3507,2395,EB,,
3984,3981.762034,4887,3041,EB,,
3984,3981.762034,4887,3041,EB,,
877,3986.457975,1576,668,EB,,
1029,3991.438789,1209,880,EB,,
4199,3992.273716,1553,3086,EB,,
762,3992.296927,1486,534,EB,,
762,3992.296927,1486,534,EB,,
4273,4002.670974,5204,3255,EB,,
467,4002.826131,1702,1480,EB,,
79,4007.392271,1509,1078,EB,,
8,4014.14467,1760,1007,EB,,
2402,4015.945462,297,9,EB,,
3852,4016.662086,4872,2692,EB,,
792,4020.438907,1518,569,EB,,
87,4037.636385,1673,1086,EB,,
726,4042.960749,1045,478,EB,,
3920,4046.670827,5123,2797,EB,,
4268,4053.422369,5315,3256,EB,,
578,4055.567697,3507,1598,EB,,
3513,4058.128809,5116,2482,EB,,
3358,4060.870276,1800,2370,EB,,
3303,4061.656572,4944,2312,EB,,
276,4067.134885,1591,1280,EB,,
276,4067.134885,1591,1280,EB,,
3908,4069.31434,1499,2790,EB,,
730,4070.003443,832,482,EB,,
3349,4072.536266,1897,2358,EB,,
591,4074.538759,1577,1611,EB,,
2915,4076.42604,2976,1875,EB,,
4272,4079.080457,3453,3248,EB,,
3347,4082.966846,1669,2356,EB,,
4083,4086.276455,3612,3176,EB,,
4160,4097.603459,1877,3053,EB,,
173,4101.760535,1199,1173,EB,,
776,4102.498274,1514,549,EB,,
4301,4108.754999,5325,3274,EB,,
272,4109.131806,1616,1276,EB,,
2673,4112.407683,604,320,EB,,
3310,4118.771966,3456,2319,EB,,
3821,4122.581854,4881,2648,EB,,
4215,4130.80812,1678,3099,EB,,
378,4131.381776,1361,1389,EB,,
2803,4138.312784,1804,1761,EB,,
2803,4138.312784,1804,1761,EB,,
2803,4138.312784,1804,1761,EB,,
2803,4138.312784,1804,1761,EB,,
4234,4139.803353,5160,3109,EB,,
1077,4143.363523,1569,927,EB,,
1149,4155.748519,1756,999,EB,,
931,4156.294205,1606,722,EB,,
3357,4159.254071,3463,2366,EB,,
4096,4161.32051,1869,3189,EB,,
3834,4162.643734,1607,2672,EB,,
57,4164.549622,1753,1056,EB,,
260,4171.6073,862,1264,EB,,
3869,4174.814959,1766,2729,EB,,
4120,4176.114151,5119,3225,EB,,
406,4177.518222,1506,1417,EB,,
3299,4186.715817,1848,2308,EB,,
1859,4188.479739,1067,7,EB,,
4107,4191.930127,1171,3214,EB,,
3825,4194.358557,1754,2659,EB,,
3825,4194.358557,1754,2659,EB,,
4236,4196.341436,4970,3108,EB,,
4105,4198.282657,4883,3212,EB,,
891,4199.208544,1580,682,EB,,
3567,4201.688674,5168,2780,EB,,
3858,4202.266679,1361,2711,EB,,
734,4206.898294,1435,502,EB,,
3199,4208.328697,1717,2208,EB,,
4304,4218.510324,5118,3276,EB,,
4121,4222.929371,4935,3226,EB,,
4188,4230.302335,1669,3072,EB,,
4077,4233.259534,5072,3170,EB,,
3929,4234.825876,1787,2808,EB,,
3748,4241.40615,2966,2604,EB,,
4244,4250.050369,3464,3117,EB,,
4278,4253.759075,1509,3252,EB,,
2933,4257.586508,1791,1893,EB,,
658,4258.473684,1029,1678,EB,,
2543,4262.090896,208,59,EB,,
3694,4267.920942,2978,2389,EB,,
2197,4269.798101,507,149,EB,,
2197,4269.798101,507,149,EB,,
2220,4275.149223,606,17,EB,,
2220,4275.149223,606,17,EB,,
835,4279.459508,1550,617,EB,,
772,4282.536197,1511,545,EB,,
669,4286.255399,912,1689,EB,,
139,4297.44378,1791,1138,EB,,
2442,4305.555252,628,134,EB,,
3833,4309.419998,2990,2668,EB,,
3833,4309.419998,2990,2668,EB,,
845,4309.946828,1554,628,EB,,
3885,4317.168254,4894,2760,EB,,
737,4319.14085,1438,505,EB,,
737,4319.14085,1438,505,EB,,
2909,4322.057161,2989,1869,EB,,
4294,4322.682528,5324,3268,EB,,
4294,4322.682528,5324,3268,EB,,
284,4323.28391,2959,1288,EB,,
2665,4323.325619,607,312,EB,,
2665,4323.325619,607,312,EB,,
482,4326.500371,1722,1496,EB,,
2671,4327.588587,507,318,EB,,
3747,4332.333653,1767,2597,EB,,
4097,4338.570625,3695,3190,EB,,
3193,4342.839043,2978,2202,EB,,
2424,4347.274934,1212,118,EB,,
4293,4348.414764,5323,3270,EB,,
2244,4348.792784,628,191,EB,,
2244,4348.792784,628,191,EB,,
3771,4350.684955,4883,2463,EB,,
2404,4351.190456,1162,10,EB,,
3520,4354.741925,5123,2660,EB,,
136,4355.06107,1728,1135,EB,,
136,4355.06107,1728,1135,EB,,
729,4357.406854,632,481,EB,,
3150,4360.660727,3462,2159,EB,,
3787,4362.786659,4884,2473,EB,,
720,4363.329033,1421,472,EB,,
2771,4364.419609,1416,418,EB,,
1146,4364.734375,1508,996,EB,,
1066,4370.462765,634,917,EB,,
3824,4374.814219,1852,2655,EB,,
3824,4374.814219,1852,2655,EB,,
1087,4375.170228,1724,937,EB,,
4208,4381.996353,1682,3097,EB,,
992,4382.103077,1663,843,EB,,
992,4382.103077,1663,843,EB,,
897,4385.455345,1512,688,EB,,
3951,4386.923483,5168,3002,EB,,
888,4390.693853,632,679,EB,,
1836,4395.595338,165,4,EB,,
63,4397.871551,1673,1062,EB,,
63,4397.871551,1673,1062,EB,,
63,4397.871551,1673,1062,EB,,
4126,4399.025858,5226,3231,EB,,
2752,4399.479332,1409,399,EB,,
2752,4399.479332,1409,399,EB,,
3635,4410.271543,5237,3084,EB,,
1088,4420.598587,1500,938,EB,,
3910,4427.732112,4897,2787,EB,,
1080,4428.101419,1717,930,EB,,
81,4429.970106,1750,1080,EB,,
926,4433.694296,1601,717,EB,,
4285,4434.837609,5320,3264,EB,,
704,4436.664008,1062,456,EB,,
774,4439.601054,1512,547,EB,,
774,4439.601054,1512,547,EB,,
2515,4439.633179,1158,33,EB,,
3185,4444.211551,3644,2194,EB,,
2224,4449.926386,663,173,EB,,
98,4450.172378,1396,1097,EB,,
244,4455.823195,832,1248,EB,,
244,4455.823195,832,1248,EB,,
3884,4460.207446,1871,2750,EB,,
3129,4460.972474,3578,2138,EB,,
95,4461.816601,1775,1094,EB,,
751,4466.360681,1440,522,EB,,
751,4466.360681,1440,522,EB,,
820,4468.500373,1529,598,EB,,
820,4468.500373,1529,598,EB,,
3843,4471.259911,4917,2676,EB,,
1128,4474.220817,1504,978,EB,,
916,4480.382196,1595,707,EB,,
143,4481.35467,1793,1142,EB,,
1043,4485.0614,845,894,EB,,
838,4486.186402,1540,620,EB,,
474,4496.384558,1744,1487,EB,,
2547,4497.025717,1017,62,EB,,
2547,4497.025717,1017,62,EB,,
2910,4502.864991,2964,1870,EB,,
1027,4503.359285,1425,878,EB,,
3879,4505.460527,4958,2743,EB,,
69,4510.6671,1504,1068,EB,,
3210,4511.53142,3612,2219,EB,,
3958,4511.680422,911,3013,EB,,
2708,4512.660243,1389,355,EB,,
2708,4512.660243,1389,355,EB,,
2465,4517.775508,1861,155,EB,,
609,4518.511921,1831,1629,EB,,
4279,4520.295028,3449,3258,EB,,
915,4520.43923,1594,706,EB,,
920,4523.408629,1596,711,EB,,
3829,4523.78118,3021,2663,EB,,
3116,4524.732579,1559,2125,EB,,
2602,4526.847011,1268,222,EB,,
2602,4526.847011,1268,222,EB,,
2602,4526.847011,1268,222,EB,,
2602,4526.847011,1268,222,EB,,
65,4542.172974,1660,1064,EB,,
2285,4542.548694,495,28,EB,,
2285,4542.548694,495,28,EB,,
382,4554.01567,1725,1393,EB,,
379,4561.743003,1756,1390,EB,,
1030,4563.628801,1409,881,EB,,
4299,4590.415996,4887,3281,EB,,
3657,4592.558551,5260,3113,EB,,
3103,4595.3806,3618,2112,EB,,
4259,4596.936869,3574,3132,EB,,
3819,4597.064343,3572,2494,EB,,
3819,4597.064343,3572,2494,EB,,
2813,4600.237196,1623,1771,EB,,
855,4606.849736,1560,638,EB,,
2712,4611.020578,1387,359,EB,,
2712,4611.020578,1387,359,EB,,
589,4614.411927,1757,1609,EB,,
868,4620.541294,1503,651,EB,,
2701,4620.764719,1359,348,EB,,
2701,4620.764719,1359,348,EB,,
3900,4621.407677,3612,2778,EB,,
