BirdID,BloodID,Status,TerritoryID,PeriodEnd
1213,2672,FL,48,28/08/1997
1213,211,FL,48,28/08/1997
828,2582,ABX,51,28/08/1997
51,2214,BrM,51,28/08/1997
51,72,BrM,51,28/08/1997
449,2491,BrF,52,28/08/1997
1157,2490,BrM,52,28/08/1997
932,847,H,53,28/08/1997
932,2493,H,53,28/08/1997
308,846,BrF,53,28/08/1997
216,2194,BrM,53,28/08/1997
1203,2667,BrM,54,28/08/1997
1203,2413,BrM,54,28/08/1997
459,1021,ABX,55,28/08/1997
459,827,ABX,55,28/08/1997
1030,2484,ABX,55,28/08/1997
65,2414,BrM,56,28/08/1997
1059,2382,SEEN1,56,28/08/1997
1059,1006,SEEN1,56,28/08/1997
949,2364,BrF,57,28/08/1997
557,807,BrM,57,28/08/1997
557,2666,BrM,57,28/08/1997
608,2344,ABX,59,28/08/1997
608,2417,ABX,59,28/08/1997
163,2422,ABX,59,28/08/1997
850,2418,BrF,59,28/08/1997
510,2345,BrM,59,28/08/1997
510,2421,BrM,59,28/08/1997
1130,2419,SEEN2,59,28/08/1997
1130,2688,SEEN2,59,28/08/1997
607,2665,ABX,62,28/08/1997
1202,2410,ABX,62,28/08/1997
606,2220,BrM,62,28/08/1997
606,2411,BrM,62,28/08/1997
1032,795,H,63,28/08/1997
1032,2353,H,63,28/08/1997
1032,873,H,63,28/08/1997
1032,2483,H,63,28/08/1997
176,2215,BrM,63,28/08/1997
176,2163,BrM,63,28/08/1997
176,1020,BrM,63,28/08/1997
848,880,BrF,64,28/08/1997
869,832,BrF,65,28/08/1997
869,4072,BrF,65,28/08/1997
453,4321,BrM,65,28/08/1997
453,3217,BrM,65,28/08/1997
453,117,BrM,65,28/08/1997
467,2223,BrM,67,28/08/1997
467,2507,BrM,67,28/08/1997
467,2649,BrM,67,28/08/1997
