BirdID,NestID,ChickNr,HatchDate,FledgeDate,FateChick,DateCollection,Remarks
3786,67,1,02/08/1997,,D,,dead in storm 17/8
3788,72,1,18/08/1997,,D,,dead in storm  or P21/8
3789,73,1,,,D,,died in storm 16/8
1207,76,1,26/07/1997,12-Aug-97,D,17-Aug-97,dead in storm 17/8
3793,77,1,09/08/1997,,D,10-Aug-97,dead in storm 16/8
3794,78,1,04/08/1997,,D,16-Aug-97,dead in storm 16/8
1238,83,1,07/08/1997,,D,,dead in storm 14/8
3800,84,,,,F,,
3801,88,1,13/08/1997,,D,,dead in storm 16/8
3809,96,1,12/08/1997,,D,,dead in storm 18/8
3817,102,1,01/05/1997,,F,,UR(=EEYX?)
3821,107,1,06/08/1997,,D,,
3829,119,1,06/08/1997,,D,07-Aug-97,dead in storm 17/8
3831,122,1,10/08/1997,,D,16-Aug-97,dead in storm 16/8
3839,132,1,01/05/1997,,F,,UR
3840,137,1,25/08/1998,,D,20-Aug-98,
3841,137,2,25/08/1998,,U,,
3842,138,1,,,F,,UR(=NWYX)
3843,141,1,15/11/1997,,F,,UR
3846,146,1,15/11/1997,,F,,UR
3847,148,1,,,F,,UR
3851,156,1,,,F,,UR
3852,159,1,07/08/1998,01-Sep-98,F,,UR
3858,176,1,30/08/1998,,P,,
3859,177,1,05/09/1998,,P,,
3860,178,1,,,F,,UR (=YYYX?)
3863,181,1,21/02/1998,,D,24-Feb-98,
3867,185,1,02/01/1998,16-Jan-98,F,,UR
3872,195,1,,,F,,UR
3877,164,1,30/08/1998,,D,31-Aug-98,
3883,218,1,24/01/1998,,D,,nest fell down
3884,219,1,19/08/1998,08-Sep-98,F,,UR
3886,225,1,01/09/1998,19-Sep-98,F,,UR
3887,226,1,,,F,,UR(=NNYX?)
3890,230,1,13/09/1998,,U,,
3896,243,1,29/07/1998,16-Aug-98,F,,UR
3899,251,1,08/08/1998,,D,,PREDATED
3901,253,1,,,F,,UR (=GGYX?) BiD 1391?
3905,262,1,,,F,,ERROR info
3907,265,3,25/08/1998,,D,30-Aug-98,
3909,270,1,15/11/1997,,F,,"UR (=LNYX???), BiD 1534?"
3917,286,1,15/11/1997,,F,,UR
3921,292,1,10/09/1998,,D,,p ch <24/9
3922,294,1,15/11/1997,,F,,GGVX? COLOR CODE NOT ENTERED
3926,299,1,15/11/1997,,F,,UR
3928,305,1,17/02/1998,,D,,P 4/3
3930,308,1,19/07/1998,,D,,P ch 6 days
3931,309,1,19/08/1998,,D,20-Aug-98,
1267,318,1,18/01/1998,07-Feb-98,D,,D (storm?)
3940,326,1,30/08/1998,,U,,no fl seen
3941,327,1,15/11/1997,,F,,UR
3943,331,1,26/02/1998,,G,,disappeared <20/3
3945,335,1,30/08/1998,,D,,P ch 8 days
3946,335,1,28/08/1998,,D,08-Sep-98,P ch 10 days two samples 397 + 398
3947,341,1,17/02/1998,10-Mar-98,F,,UR
3949,346,1,10/09/1998,28-Sep-98,F,,UR
3950,347,1,16/01/1998,,D,,D ~25/1
3951,349,1,15/11/1997,,F,,UR
3952,350,1,15/11/1997,,F,,UR
3953,351,2,02/09/1998,,D,,"chick 2 to 29, P ch 10 days"
3954,352,1,15/11/1997,,F,,UR
3955,353,1,15/11/1997,,F,,UR
3956,354,1,07/09/1998,,D,,P ch 23/9
3957,356,1,15/11/1997,,F,,UR
3960,359,1,15/11/1997,,F,,UR
3962,362,1,08/08/1999,,D,,P 12/8
3965,366,1,,15-Jun-99,F,,"UR, died after female died?"
3966,367,1,18/07/1999,,D,,P 19/7
3967,368,1,11/08/1999,,D,14-Aug-99,"mb: on KB 16/8 chick weighted 3.4g, 2 days old!"
3970,374,1,17/07/1999,,D,,P  26/7
3972,376,1,04/08/1999,23-Aug-99,F,,UR
3973,378,1,31/08/1999,,P,,P 14/9
3974,380,1,02/09/1999,22-Sep-99,F,,UR
1486,385,1,28/07/1999,,D,,
3976,388,1,14/08/1999,,F,19-Aug-99,
3979,398,1,,,F,,UR
3983,404,1,20/09/1999,,D,,
3986,406,1,28/07/1999,,D,01-Aug-99,P 5/8
3987,413,1,26/07/1999,,D,01-Aug-99,P 4/8 (W. skink!)
3990,417,1,,,G,,"UR, DEAD??"
3992,419,1,31/08/1999,18-Sep-99,F,,UR
3993,421,1,27/01/1999,,U,,"? (no fl seen in April), UR"
3995,423,1,27/01/1999,15-Feb-99,F,,"UR, ? (fl seen in April)"
3996,424,1,05/08/1999,25-Aug-99,F,,UR
4000,429,1,,,F,,UR
4001,429,2,,,F,,UR
4002,432,2,,,F,,UR
4003,433,1,22/08/1999,11-Sep-99,F,,UR
4005,438,1,,,F,,UR
4007,441,1,,,F,,UR
4008,442,1,,,F,,UR
4009,443,1,03/09/1999,22-Sep-99,F,,UR
4011,445,1,22/08/1999,10-Sep-99,F,,UR
4013,447,1,18/08/1999,,D,,P 14/7
4014,448,1,,,F,,fl (could have been 2 fl's)
4015,448,2,,,F,,fl (could have been 2 fl's)
4016,450,1,07/07/1999,27-Jul-99,G,,UR
4017,452,1,12/07/1999,,D,19-Jul-99,
4018,453,1,03/07/1999,22-Jul-99,F,,UR
4019,456,1,,24-Jul-99,F,,UR
4020,457,1,27/08/1999,,P,,P 6/9
