BloodID,BTN,TL,Objective,Whodunnit,ID,PlateID,BirdID,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,BreedGroupID,TerritoryID,Status,MaxOfMaxOfSeenDate,SexEstimate
2576,89,6498.255949,1,EB,116,10,951,,,,,1995,22,708,23/07/1997,69,88,BrF,21/07/2002,0
2577,9,4972.124227,1,EB,18,1,911,27.1,26.8,16.2,,1994,22,670,05/07/1997,2302,24,SEEN2,08/09/2010,1
2578,90,9277.966273,1,EB,117,10,1196,26.6,26.6,17.3,,1996,22,708,23/07/1997,69,88,BrM,04/09/2009,1
2579,91,7453.882136,1,EB,118,10,1041,27.4,27,18.0,,1995,22,707,23/07/1997,64,80,BrM,18/01/1999,1
2580,92,9067.257598,1,EB,119,10,1197,24.9,25,13.7,,1996,22,711,24/07/1997,64,80,ABX,18/02/1998,0
2581,93,5566.825008,1,EB,120,29,1211,26.2,25.9,15.8,,1996,22,710,24/07/1997,79,105,BrM,06/08/1998,1
2582,94,9302.932701,1,EB,121,10,828,27.2,26.9,16.8,,1994,22,709,23/07/1997,43,51,ABX,16/09/1998,1
2583,95,8234.089331,8,EAF,2408,20,51,25.9,25.6,15.6,,1986,22,712,24/07/1997,43,51,BrM,01/08/2003,1
2584,96,4400.070002,8,EAF,2409,5,525,26.4,26.4,17.6,,1993,22,710,24/07/1997,74,99,BrM,13/09/1999,1
2584,96,4400.070002,8,EAF,2409,5,525,26.4,26.4,17.6,,1993,22,710,24/07/1997,3317,116,SEEN1,13/09/1999,1
2585,97,4860.903162,7,EAF,1925,39,776,26.7,26.5,17.5,,1994,22,710,24/07/1997,3317,116,BrM,21/08/1999,1
2586,98,6019.927419,1,EB,123,37,1217,26.4,25.6,15.4,,1996,22,713,25/07/1997,3317,116,ABX,16/07/1998,1
2586,98,11454.58876,1,EB,122,32,1217,26.4,25.6,15.4,,1996,22,713,25/07/1997,3317,116,ABX,16/07/1998,1
2587,99,11347.34651,1,EB,124,32,1218,24.1,24,14.3,,1996,22,713,25/07/1997,107,159,AB,21/09/2013,0
2589,208,3508.536995,1,EB,189,40,1246,24.6,24.5,14.3,,1996,23,764,02/01/1998,134,30,BrF,22/11/1999,0
2590,209,5463.902306,5,EB,190,1,1229,25.4,25.3,15.5,,1998,23,765,03/01/1998,136,40,FL,24/03/1998,1
2591,210,7476.574641,1,EB,191,39,1221,26.4,26.3,15.7,,1997,23,765,03/01/1998,134,30,ABX,05/01/2004,1
2592,211,4642.170472,8,EAF,2411,9,1273,23.7,23.7,14.5,,1996,23,766,10/01/1998,143,59,SEEN1,13/01/1998,1
2592,211,6155.761463,1,EB,192,39,1273,23.7,23.7,14.5,,1996,23,766,10/01/1998,143,59,SEEN1,13/01/1998,1
2593,212,10516.67599,1,EB,193,39,1247,24.0,23.7,14.0,,1996,23,767,15/01/1998,130,23,BrF,18/12/2004,0
2594,213,4689.809025,1,EB,194,14,1020,26.1,26,17.1,,1995,23,767,15/01/1998,130,23,BrM,11/09/2002,1
2596,215,4033.190547,5,EB,195,1,1248,26.8,26.8,15.2,,1998,23,767,15/01/1998,118,1,FL,16/03/1998,1
2597,216,4715.465096,1,EB,196,14,884,26.9,26.9,16.1,,1995,23,769,16/01/1998,158,89,BrM,27/03/1998,1
2598,218,6319.714486,1,EB,197,30,1274,25.8,25.6,16.7,,1996,23,768,16/01/1998,2319,49,BrM,14/09/1999,1
2599,219,6072.887256,8,EAF,2412,6,1275,24.6,24.3,13.8,,1998,23,770,17/01/1998,143,59,FL,22/07/2005,0
2600,220,6110.317803,7,EAF,1926,37,1031,26.4,26.2,16.4,,1996,23,771,18/01/1998,132,26,SEEN1,09/03/2010,1
2600,220,6110.317803,7,EAF,1926,37,1031,26.4,26.2,16.4,,1996,23,771,18/01/1998,158,89,SEEN1,09/03/2010,1
2602,222,4526.847011,5,EB,198,18,1268,,,,,1998,23,773,24/01/1998,169,115,CH,01/08/2003,1
2602,222,4885.118106,4,EB,199,42,1268,,,,,1998,23,773,24/01/1998,169,115,CH,01/08/2003,1
2602,222,4526.847011,5,EB,198,18,1268,,,,,1998,23,773,24/01/1998,168,109,XF,01/08/2003,1
2602,222,4885.118106,4,EB,199,42,1268,,,,,1998,23,773,24/01/1998,168,109,XF,01/08/2003,1
2603,223,10425.68413,1,EB,200,39,1269,23.8,23.9,12.5,,1996,23,774,25/01/1998,184,166,SEEN1,10/07/1998,0
2604,224,4775.345123,5,EB,201,18,1270,23.9,23.6,13.1,,1998,23,774,25/01/1998,185,168,FL,13/07/1998,0
2605,225,6595.522715,1,EB,202,14,1271,24.4,24.1,14.9,,1996,23,774,25/01/1998,185,168,BrF,10/12/2005,0
2606,226,5906.179613,1,EB,203,14,1272,24.5,24.4,14.0,,1996,23,774,25/01/1998,185,168,ABX,03/07/2006,0
2608,228,14444.78273,1,EB,204,39,1276,26.2,25.8,15.2,,1996,23,775,28/01/1998,183,165,SEEN1,15/01/2007,1
2610,230,6779.569111,1,EB,205,38,1051,,,14.3,,1996,23,775,28/01/1998,2324,56,BrF,12/03/1998,0
2614,234,5944.401376,1,EB,206,30,1177,23.7,23.5,13.5,,1996,23,777,29/01/1998,184,166,BrF,11/07/2001,0
2616,236,7611.85023,7,EAF,1927,39,1286,25.0,24.9,14.0,,1997,23,779,05/02/1998,2314,32,FL,20/08/1999,1
2618,238,6982.320947,1,EB,207,30,509,25.7,25.9,15.0,,1993,23,780,06/02/1998,2339,121,SEEN2,20/07/2002,1
2618,238,6982.320947,1,EB,207,30,509,25.7,25.9,15.0,,1993,23,780,06/02/1998,182,164,BrM,20/07/2002,1
2619,239,7715.649565,6,EAF,1486,30,1288,23.7,23.5,14.4,,1998,23,781,08/02/1998,163,102,FL,10/03/1998,0
2621,241,9040.224975,1,EB,208,14,1170,25.1,25.2,14.9,,1997,23,784,12/02/1998,161,95,SEEN1,05/08/2008,0
2621,241,9040.224975,1,EB,208,14,1170,25.1,25.2,14.9,,1997,23,784,12/02/1998,174,135,ABX,05/08/2008,0
2622,242,5311.881493,1,EB,209,14,917,26.5,26.3,16.6,,1994,23,784,12/02/1998,161,95,BrM,05/07/2001,1
2623,243,3671.745462,1,EB,210,15,64,24.5,24.4,14.1,,1987,23,784,12/02/1998,164,103,BrF,12/02/1998,0
2624,244,6689.117121,1,EB,211,15,528,25.0,24.7,14.1,,1993,23,784,12/02/1998,164,103,H,24/03/1998,0
2626,246,10017.86595,1,EB,212,15,1045,23.3,25.1,15.8,,1996,23,783,12/02/1998,2315,33,ABX,08/07/2001,1
2626,246,10017.86595,1,EB,212,15,1045,23.3,25.1,15.8,,1996,23,783,12/02/1998,158,89,SEEN2,08/07/2001,1
2627,247,9241.140085,5,EB,213,17,1278,25.5,25.5,13.2,,1998,23,783,12/02/1998,148,71,FL,31/12/1999,0
2628,248,6111.824651,1,EB,214,15,868,25.8,25.8,16.4,,1995,23,787,17/02/1998,127,16,BrM,23/08/1998,1
2630,250,3076.28397,5,EB,215,3,1292,26.1,26.1,15.0,,1998,23,784,12/02/1998,167,106,OFL,12/03/1998,1
2633,253,6410.957957,5,EB,216,3,1295,,, 6.9,,1997,23,788,18/02/1998,162,101,FL,25/02/1998,1
2635,255,5034.541164,8,EAF,2414,19,1296,25.6,25.6,12.0,,1998,23,791,02/03/1998,166,105,OFL,02/03/1998,1
2635,255,5408.850979,8,EAF,2413,15,1296,25.6,25.6,12.0,,1998,23,791,02/03/1998,166,105,OFL,02/03/1998,1
2635,255,4638.668259,5,EB,217,3,1296,25.6,25.6,12.0,,1998,23,791,02/03/1998,166,105,OFL,02/03/1998,1
2637,257,10081.06093,1,EB,218,15,522,24.2,23.9,13.5,,1993,23,792,03/03/1998,155,86,BrF,02/12/1999,0
2640,260,6498.160982,1,EB,219,30,498,25.6,25.4,15.9,,1993,23,794,06/03/1998,178,148,BrM,10/03/1998,1
2642,262,2328.849146,5,EB,220,3,1300,24.2,24.1,12.5,,1998,23,795,08/03/1998,180,159,OFL,27/03/1998,0
2643,263,6015.273019,1,EB,221,15,1301,26.3,26.2,14.6,,1996,23,795,08/03/1998,165,104,SEEN1,24/03/1998,1
2643,263,5136.033524,8,EAF,2416,1,1301,26.3,26.2,14.6,,1996,23,795,08/03/1998,165,104,SEEN1,24/03/1998,1
2644,264,4224.940483,8,EAF,2417,8,1302,26.9,26.8,13.2,,1998,23,796,10/03/1998,165,104,OFL,10/03/1998,1
2644,264,4506.46977,5,EB,222,3,1302,26.9,26.8,13.2,,1998,23,796,10/03/1998,165,104,OFL,10/03/1998,1
2645,265,19855.17471,1,EB,223,16,1028,25.8,26,16.1,,1995,23,796,10/03/1998,179,155,BrM,20/11/1999,1
2645,265,13013.43764,1,EB,224,40,1028,25.8,26,16.1,,1995,23,796,10/03/1998,179,155,BrM,20/11/1999,1
2646,266,5065.166913,1,EB,226,40,1303,26.0,25.9,13.6,,1996,23,798,11/03/1998,162,101,U,11/03/1998,1
2646,266,17621.09645,1,EB,225,16,1303,26.0,25.9,13.6,,1996,23,798,11/03/1998,162,101,U,11/03/1998,1
2647,267,6139.983088,1,EB,228,40,1304,25.3,24.9,14.9,,1997,23,801,13/03/1998,177,141,SEEN1,24/08/1999,0
2647,267,15364.47117,1,EB,227,16,1304,25.3,24.9,14.9,,1997,23,801,13/03/1998,177,141,SEEN1,24/08/1999,0
2648,268,4718.526223,5,EB,229,3,1305,24.0,23.6,12.9,,1998,23,802,18/03/1998,184,166,OFL,12/02/2009,0
2649,269,5925.167257,1,EB,231,40,467,26.7,26.5,15.8,,1992,23,803,19/03/1998,146,67,BrM,07/12/1999,1
2649,269,17050.92074,1,EB,230,16,467,26.7,26.5,15.8,,1992,23,803,19/03/1998,146,67,BrM,07/12/1999,1
2650,270,5086.42607,5,EB,232,3,1306,22.5,22.6,13.6,,1998,23,804,20/03/1998,146,67,FL,22/08/1999,1
2650,270,7894.759395,8,EAF,2418,7,1306,22.5,22.6,13.6,,1998,23,804,20/03/1998,146,67,FL,22/08/1999,1
2652,272,10968.82857,1,EB,233,16,220,26.0,25.9,15.0,,1988,23,807,23/03/1998,132,26,BrM,04/07/2001,1
